Time: 3h 26m, Epoch [5/20],Loss: 0.2178
Time: 3h 28m, Epoch [5/20],Loss: 0.2086
Time: 3h 29m, Epoch [5/20],Loss: 0.1827
Time: 3h 30m, Epoch [5/20],Loss: 0.1553
Time: 3h 32m, Epoch [5/20],Loss: 0.1987
Time: 3h 33m, Epoch [5/20],Loss: 0.1875
Time: 3h 34m, Epoch [5/20],Loss: 0.2173
Time: 3h 36m, Epoch [5/20],Loss: 0.1874
Time: 3h 37m, Epoch [5/20],Loss: 0.2107
Time: 3h 38m, Epoch [5/20],Loss: 0.2255
Time: 3h 40m, Epoch [5/20],Loss: 0.2206
Time: 3h 41m, Epoch [5/20],Loss: 0.1981
Time: 3h 42m, Epoch [5/20],Loss: 0.1551
Time: 3h 44m, Epoch [5/20],Loss: 0.1685
Time: 3h 45m, Epoch [5/20],Loss: 0.1808
Time: 3h 46m, Epoch [5/20],Loss: 0.1909
Time: 3h 48m, Epoch [5/20],Loss: 0.2085
Time: 3h 49m, Epoch [5/20],Loss: 0.1756
Time: 3h 50m, Epoch [5/20],Loss: 0.1594
Time: 3h 52m, Epoch [5/20],Loss: 0.2006
Time: 3h 53m, Epoch [5/20],Loss: 0.1836
Time: 3h 54m, Epoch [5/20],Loss: 0.1658
Time: 3h 56m, Epoch [5/20],Loss: 0.1726
Test: Epoch [5/20], Loss: 0.1710
Time: 3h 59m, Epoch [6/20],Loss: 0.1871
Time: 4h 1m, Epoch [6/20],Loss: 0.1675
Time: 4h 2m, Epoch [6/20],Loss: 0.2062
Time: 4h 3m, Epoch [6/20],Loss: 0.1993
Time: 4h 5m, Epoch [6/20],Loss: 0.1908
Time: 4h 6m, Epoch [6/20],Loss: 0.1738
Time: 4h 7m, Epoch [6/20],Loss: 0.1637
Time: 4h 9m, Epoch [6/20],Loss: 0.2363
Time: 4h 10m, Epoch [6/20],Loss: 0.2041
Time: 4h 11m, Epoch [6/20],Loss: 0.1778
Time: 4h 13m, Epoch [6/20],Loss: 0.1993
Time: 4h 14m, Epoch [6/20],Loss: 0.1955
Time: 4h 15m, Epoch [6/20],Loss: 0.1941
Time: 4h 17m, Epoch [6/20],Loss: 0.1973
Time: 4h 18m, Epoch [6/20],Loss: 0.1870
Time: 4h 19m, Epoch [6/20],Loss: 0.1829
Time: 4h 21m, Epoch [6/20],Loss: 0.2065
Time: 4h 22m, Epoch [6/20],Loss: 0.1821
Time: 4h 23m, Epoch [6/20],Loss: 0.2272
Time: 4h 25m, Epoch [6/20],Loss: 0.1701
Time: 4h 26m, Epoch [6/20],Loss: 0.1754
Time: 4h 27m, Epoch [6/20],Loss: 0.1927
Time: 4h 29m, Epoch [6/20],Loss: 0.1760
Time: 4h 30m, Epoch [6/20],Loss: 0.2095
Time: 4h 31m, Epoch [6/20],Loss: 0.1748
Time: 4h 33m, Epoch [6/20],Loss: 0.1992
Test: Epoch [6/20], Loss: 0.1705
Time: 4h 36m, Epoch [7/20],Loss: 0.2048
Time: 4h 38m, Epoch [7/20],Loss: 0.1851
Time: 4h 39m, Epoch [7/20],Loss: 0.2060
Time: 4h 40m, Epoch [7/20],Loss: 0.1816
Time: 4h 42m, Epoch [7/20],Loss: 0.2235
Time: 4h 43m, Epoch [7/20],Loss: 0.1735
Time: 4h 44m, Epoch [7/20],Loss: 0.1879
Time: 4h 46m, Epoch [7/20],Loss: 0.1896
Time: 4h 47m, Epoch [7/20],Loss: 0.1598
Time: 4h 49m, Epoch [7/20],Loss: 0.1562
Time: 4h 50m, Epoch [7/20],Loss: 0.1952
Time: 4h 51m, Epoch [7/20],Loss: 0.1986
Time: 4h 53m, Epoch [7/20],Loss: 0.1762
Time: 4h 54m, Epoch [7/20],Loss: 0.1755
Time: 4h 55m, Epoch [7/20],Loss: 0.2084
Time: 4h 57m, Epoch [7/20],Loss: 0.2104
Time: 4h 58m, Epoch [7/20],Loss: 0.1906
Time: 4h 59m, Epoch [7/20],Loss: 0.1892
Time: 5h 1m, Epoch [7/20],Loss: 0.1591
Time: 5h 2m, Epoch [7/20],Loss: 0.1967
Time: 5h 3m, Epoch [7/20],Loss: 0.2039
Time: 5h 5m, Epoch [7/20],Loss: 0.1811
Time: 5h 6m, Epoch [7/20],Loss: 0.1920
Time: 5h 7m, Epoch [7/20],Loss: 0.1887
Time: 5h 9m, Epoch [7/20],Loss: 0.2055
Time: 5h 10m, Epoch [7/20],Loss: 0.2025
Test: Epoch [7/20], Loss: 0.1700
Time: 5h 14m, Epoch [8/20],Loss: 0.2388
Time: 5h 15m, Epoch [8/20],Loss: 0.2067
Time: 5h 16m, Epoch [8/20],Loss: 0.1912
Time: 5h 18m, Epoch [8/20],Loss: 0.2073
Time: 5h 19m, Epoch [8/20],Loss: 0.1677
Time: 5h 20m, Epoch [8/20],Loss: 0.1640
Time: 5h 22m, Epoch [8/20],Loss: 0.1923
Time: 5h 23m, Epoch [8/20],Loss: 0.1959
Time: 5h 24m, Epoch [8/20],Loss: 0.2406
Time: 5h 26m, Epoch [8/20],Loss: 0.2105
Time: 5h 27m, Epoch [8/20],Loss: 0.1700
Time: 5h 28m, Epoch [8/20],Loss: 0.2258
Time: 5h 30m, Epoch [8/20],Loss: 0.1910
Time: 5h 31m, Epoch [8/20],Loss: 0.1932
Time: 5h 32m, Epoch [8/20],Loss: 0.1766
Time: 5h 34m, Epoch [8/20],Loss: 0.1955
Time: 5h 35m, Epoch [8/20],Loss: 0.2108
Time: 5h 36m, Epoch [8/20],Loss: 0.1631
Time: 5h 38m, Epoch [8/20],Loss: 0.1914
Time: 5h 39m, Epoch [8/20],Loss: 0.1912
Time: 5h 40m, Epoch [8/20],Loss: 0.1873
Time: 5h 42m, Epoch [8/20],Loss: 0.2220
Time: 5h 43m, Epoch [8/20],Loss: 0.1793
Time: 5h 44m, Epoch [8/20],Loss: 0.1528
Time: 5h 46m, Epoch [8/20],Loss: 0.1931
Time: 5h 47m, Epoch [8/20],Loss: 0.1750
Test: Epoch [8/20], Loss: 0.1700
Time: 5h 51m, Epoch [9/20],Loss: 0.1548
Time: 5h 52m, Epoch [9/20],Loss: 0.1849
Time: 5h 53m, Epoch [9/20],Loss: 0.1905
Time: 5h 55m, Epoch [9/20],Loss: 0.1778
Time: 5h 56m, Epoch [9/20],Loss: 0.1589
Time: 5h 57m, Epoch [9/20],Loss: 0.1945
Time: 5h 59m, Epoch [9/20],Loss: 0.2199
Time: 6h 0m, Epoch [9/20],Loss: 0.2109
Time: 6h 1m, Epoch [9/20],Loss: 0.1938
Time: 6h 3m, Epoch [9/20],Loss: 0.1356
Time: 6h 4m, Epoch [9/20],Loss: 0.2179
Time: 6h 5m, Epoch [9/20],Loss: 0.2428
Time: 6h 7m, Epoch [9/20],Loss: 0.2185
Time: 6h 8m, Epoch [9/20],Loss: 0.2007
Time: 6h 9m, Epoch [9/20],Loss: 0.2106
Time: 6h 11m, Epoch [9/20],Loss: 0.1808
Time: 6h 12m, Epoch [9/20],Loss: 0.2066
Time: 6h 14m, Epoch [9/20],Loss: 0.1723
Time: 6h 15m, Epoch [9/20],Loss: 0.2078
Time: 6h 16m, Epoch [9/20],Loss: 0.1971
Time: 6h 18m, Epoch [9/20],Loss: 0.1876
Time: 6h 19m, Epoch [9/20],Loss: 0.1810
Time: 6h 20m, Epoch [9/20],Loss: 0.1740
Time: 6h 22m, Epoch [9/20],Loss: 0.2228
Time: 6h 23m, Epoch [9/20],Loss: 0.2002
Time: 6h 24m, Epoch [9/20],Loss: 0.1516
Test: Epoch [9/20], Loss: 0.1693
Time: 6h 28m, Epoch [10/20],Loss: 0.1779
Time: 6h 29m, Epoch [10/20],Loss: 0.1880
Time: 6h 31m, Epoch [10/20],Loss: 0.1809
Time: 6h 32m, Epoch [10/20],Loss: 0.1995
Time: 6h 33m, Epoch [10/20],Loss: 0.1769
Time: 6h 35m, Epoch [10/20],Loss: 0.2009
Time: 6h 36m, Epoch [10/20],Loss: 0.2428
Time: 6h 37m, Epoch [10/20],Loss: 0.2106
Time: 6h 39m, Epoch [10/20],Loss: 0.1961
Time: 6h 40m, Epoch [10/20],Loss: 0.1786
Time: 6h 41m, Epoch [10/20],Loss: 0.1627
Time: 6h 43m, Epoch [10/20],Loss: 0.1936
Time: 6h 44m, Epoch [10/20],Loss: 0.1689
Time: 6h 45m, Epoch [10/20],Loss: 0.2202
Time: 6h 47m, Epoch [10/20],Loss: 0.2200
Time: 6h 48m, Epoch [10/20],Loss: 0.2054
Time: 6h 49m, Epoch [10/20],Loss: 0.2050
Time: 6h 51m, Epoch [10/20],Loss: 0.1595
Time: 6h 52m, Epoch [10/20],Loss: 0.1828
Time: 6h 53m, Epoch [10/20],Loss: 0.1788
Time: 6h 55m, Epoch [10/20],Loss: 0.1788
Time: 6h 56m, Epoch [10/20],Loss: 0.1779
Time: 6h 57m, Epoch [10/20],Loss: 0.2468
Time: 6h 59m, Epoch [10/20],Loss: 0.1741
Time: 7h 0m, Epoch [10/20],Loss: 0.2058
Time: 7h 1m, Epoch [10/20],Loss: 0.1715
Test: Epoch [10/20], Loss: 0.1690
Time: 7h 5m, Epoch [11/20],Loss: 0.2024
Time: 7h 6m, Epoch [11/20],Loss: 0.1698
Time: 7h 8m, Epoch [11/20],Loss: 0.1918
Time: 7h 9m, Epoch [11/20],Loss: 0.1758
Time: 7h 10m, Epoch [11/20],Loss: 0.2245
Time: 7h 12m, Epoch [11/20],Loss: 0.1933
Time: 7h 13m, Epoch [11/20],Loss: 0.1589
Time: 7h 14m, Epoch [11/20],Loss: 0.1624
Time: 7h 16m, Epoch [11/20],Loss: 0.1856
Time: 7h 17m, Epoch [11/20],Loss: 0.1634
Time: 7h 19m, Epoch [11/20],Loss: 0.1772
Time: 7h 20m, Epoch [11/20],Loss: 0.2008
Time: 7h 21m, Epoch [11/20],Loss: 0.2276
Time: 7h 23m, Epoch [11/20],Loss: 0.1728
Time: 7h 24m, Epoch [11/20],Loss: 0.2036
Time: 7h 25m, Epoch [11/20],Loss: 0.1947
Time: 7h 27m, Epoch [11/20],Loss: 0.1842
Time: 7h 28m, Epoch [11/20],Loss: 0.2062
Time: 7h 29m, Epoch [11/20],Loss: 0.2231
Time: 7h 31m, Epoch [11/20],Loss: 0.1745
Time: 7h 32m, Epoch [11/20],Loss: 0.1814
Time: 7h 34m, Epoch [11/20],Loss: 0.2268
Time: 7h 35m, Epoch [11/20],Loss: 0.2038
Time: 7h 36m, Epoch [11/20],Loss: 0.1887
Time: 7h 38m, Epoch [11/20],Loss: 0.1849
Time: 7h 39m, Epoch [11/20],Loss: 0.1845
Test: Epoch [11/20], Loss: 0.1691
Time: 7h 43m, Epoch [12/20],Loss: 0.1715
